BallSpeed,WaveInterval,BallsPerWave,WaveDelay,DistractionCount,DistractionSpeed,CubeMode,BallSize,ColorShift,SpawnDistance,SuccessTarget
5.619625,1.881786,3,0.4129991,0,3.104947,1,1.003495,0,9.127024,1
5.619625,1.881786,3,0.4129991,0,3.104947,1,1.003495,0,9.127024,1
5.619625,1.881786,3,0.4129991,0,3.104947,1,1.003495,0,9.127024,0
3.609669,1.694688,2,0.2702231,1,2.64229,2,0.8562453,1,10.35678,1
3.767533,1.983203,1,0.2671493,2,3.852626,1,0.9615446,1,9.307315,1
3.767533,1.983203,1,0.2671493,2,3.852626,1,0.9615446,1,9.307315,0
5.390827,2.092917,3,0.2996958,3,3.216386,0,0.9768421,0,8.498695,1
5.390827,2.092917,3,0.2996958,3,3.216386,0,0.9768421,0,8.498695,1
5.390827,2.092917,3,0.2996958,3,3.216386,0,0.9768421,0,8.498695,0
5.792246,1.821021,2,0.3307807,0,3.654689,0,0.7974654,0,10.26396,0
5.070319,2.27623,1,0.309707,3,2.353033,0,0.7037048,0,9.348944,0
6.234216,1.43302,2,0.2622066,2,2.344403,0,1.103854,0,10.41941,1
6.234216,1.43302,2,0.2622066,2,2.344403,0,1.103854,0,10.41941,0
4.62522,1.58759,2,0.2831318,2,3.071558,1,0.885752,0,8.85067,1
4.62522,1.58759,2,0.2831318,2,3.071558,1,0.885752,0,8.85067,1
6.473361,2.11623,1,0.4417278,0,2.534744,1,0.8288629,0,9.880499,1
4.628527,2.221348,1,0.5624043,4,2.516531,2,1.093518,0,10.27815,1
5.849683,1.364592,3,0.4859416,3,3.623867,0,1.191584,0,10.82911,0
5.997904,1.217788,3,0.5214476,1,3.957781,1,0.9462351,0,8.476427,0
5.997904,1.217788,3,0.5214476,1,3.957781,1,0.9462351,0,8.476427,1
5.997904,1.217788,3,0.5214476,1,3.957781,1,0.9462351,0,8.476427,0
3.70478,1.525209,3,0.4388009,4,1.957119,1,1.117877,0,9.050933,1
3.70478,1.525209,3,0.4388009,4,1.957119,1,1.117877,0,9.050933,1
6.022421,1.896431,1,0.4040841,0,2.29802,2,0.7438914,0,11.72926,1
6.022421,1.896431,1,0.4040841,0,2.29802,2,0.7438914,0,11.72926,1
4.876548,1.982084,3,0.3303126,4,2.107097,0,1.192273,0,10.47041,1
4.876548,1.982084,3,0.3303126,4,2.107097,0,1.192273,0,10.47041,0
6.137043,2.445402,1,0.3712447,3,2.949347,2,1.015714,0,9.63588,1
4.695176,1.721277,3,0.4945021,0,3.151189,0,0.9838385,0,8.504716,1
4.695176,1.721277,3,0.4945021,0,3.151189,0,0.9838385,0,8.504716,1
4.695176,1.721277,3,0.4945021,0,3.151189,0,0.9838385,0,8.504716,0
3.75292,1.845927,3,0.5226065,3,3.190471,2,1.002036,0,11.07282,1
3.75292,1.845927,3,0.5226065,3,3.190471,2,1.002036,0,11.07282,0
3.75292,1.845927,3,0.5226065,3,3.190471,2,1.002036,0,11.07282,1
5.523498,2.358629,2,0.3609014,3,2.270477,1,0.9091153,1,8.345123,0
5.719775,1.747085,3,0.4736774,1,3.019896,2,1.152603,0,9.077911,0
5.719775,1.747085,3,0.4736774,1,3.019896,2,1.152603,0,9.077911,0
5.719775,1.747085,3,0.4736774,1,3.019896,2,1.152603,0,9.077911,0
4.178824,1.987293,3,0.2494426,1,1.702054,0,1.059046,0,8.982685,1
4.178824,1.987293,3,0.2494426,1,1.702054,0,1.059046,0,8.982685,1
4.178824,1.987293,3,0.2494426,1,1.702054,0,1.059046,0,8.982685,0
3.895324,2.46024,2,0.5195971,1,1.942874,1,1.152873,0,8.454708,1
3.895324,2.46024,2,0.5195971,1,1.942874,1,1.152873,0,8.454708,1
5.65227,2.320306,2,0.4556143,3,3.303581,1,0.720228,0,8.653175,1
5.65227,2.320306,2,0.4556143,3,3.303581,1,0.720228,0,8.653175,1
5.372775,1.807536,3,0.3436521,4,2.050389,0,0.929427,1,9.195347,0
5.372775,1.807536,3,0.3436521,4,2.050389,0,0.929427,1,9.195347,0
6.111247,2.161043,3,0.5464415,2,3.399079,0,0.8701304,0,9.389128,1
6.111247,2.161043,3,0.5464415,2,3.399079,0,0.8701304,0,9.389128,0
6.111247,2.161043,3,0.5464415,2,3.399079,0,0.8701304,0,9.389128,1
4.720489,2.15361,2,0.3681449,3,3.457896,2,0.8000888,0,9.608892,1
